Partner Name,Referral Code,Wallet Address,Prime Agent,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Total
"cow","1003","0x616dE58c011F8736fa20c7Ae5352F7f6FB9F0669","-","67.4","1,472.5","3,345.4","5,087.3","9,157","15,031.8","17,639.1","19,053.1","18,618.2","20,069.6","109,541.3"
"summerfi","1001","0xC7b548AD9Cf38721810246C079b2d8083aba8909","-","154.4","4,819.8","7,667.1","10,486.9","9,324","7,586.4","5,594.6","5,256.3","5,127.8","4,520.1","60,537.4"
"lazysummer","1016","0x447BF9d1485ABDc4C1778025DfdfbE8b894C3796","-","0","0","0","0","0","515.4","729.2","263.7","31.7","23.7","1,563.6"
"Spark.lend","128","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","0","177.3","1,226.9","24,359.7","32,256.5","66,040","69,140.3","91,167.2","73,433.9","39,506.5","397,308.2"
"-","183","-","Spark","0","0","0","0","0","0","0","0","0","0.3","0.3"
"-","186","-","Spark","0","0","0","0","0","0","0","0","0","0","0"
"-","303","-","Spark","0","0","16.1","0","0","0","0","0","0","0","16.1"
"-","untagged","-","-","55,871.7","302,585.1","235,954.4","245,636.2","427,779.9","806,094.9","1,063,033.3","861,961.6","810,928.2","803,898.4","5,613,743.7"
"MOM","1015","-","-","0","0","0","0","7.4","6.7","0","0","0","0","14.1"
"yearn","1007","0xFEB4acf3df3cDEA7399794D0869ef76A6EfAff52","-","0","796.4","1,907.2","1,753.1","2,174.1","1,349.1","2,596.1","4,803.3","5,247.9","15,843.7","36,470.9"
"paraswap","1004","-","-","0","0","314","195.5","350.5","308.1","212","429.2","713.5","1,061","3,583.7"
"defisaver","1002","0x6467e807dB1E71B9Ef04E0E3aFb962E4B0900B2B","-","0","650.1","808.5","1,160.2","1,792.1","2,359.1","3,026.9","2,500.8","1,880.4","1,971","16,149.1"