Partner Name,Referral Code,Wallet Address,Prime Agent,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Total
"-","1017","-","-","0","3.3","2.3","2.2","2.3","2.2","2.3","1.1","0","0","0","15.8"
"-","170","-","Spark","0","0","0","0","0","0","0","0","0","0","0","0"
"paraswap","1004","-","-","0","4,249.4","5,896.3","214.4","182.6","169.7","130.5","228.6","233.6","386.6","579.7","12,271.4"
"-","untagged","-","-","0","1,134,427.8","1,260,381.9","642,081.7","838,391.2","1,140,845.1","1,327,582.1","1,537,925.1","1,488,992.7","1,730,555.4","1,622,835.2","12,724,018.3"
"-","171","-","Spark","0","0","0","0","0","0","0","0","0","0","0","0"
"lazysummer","1016","0x447BF9d1485ABDc4C1778025DfdfbE8b894C3796","-","0","76.9","146.7","2,428.9","3,114.5","808.5","2,773.5","3,276.4","2,988","3,971.3","44,758","64,342.6"
"Spark.lend","128","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","0","612,156.3","1,007,185.7","130,595.3","176,672.2","196,575.4","221,066.9","359,627.9","487,548.4","771,151.6","852,771.4","4,815,351.1"
"-","186","-","Spark","0","0","0","0","0","37.3","0.4","0","0","0","0","37.8"
"yearn","1007","0xFEB4acf3df3cDEA7399794D0869ef76A6EfAff52","-","0","21,861.5","21,499.2","501.3","1,629.3","575","1,255.5","1,592.9","8,121.6","11,124.5","8,091.8","76,252.6"
"-","183","-","Spark","0","0","0","17,644.8","17,323.3","20,822.7","24,110.9","21,339.3","13,276.3","11,109.2","9,776","135,402.5"
"cow","1003","0x616dE58c011F8736fa20c7Ae5352F7f6FB9F0669","-","0","49,359.9","48,904.7","34,069.5","33,120.5","27,310.3","55,599.4","62,902.5","50,866.1","58,037.4","51,504.7","471,675"
"summerfi","1001","0xC7b548AD9Cf38721810246C079b2d8083aba8909","-","0","9,407.8","4,863.2","1,017.9","954.6","865.7","785.7","880.9","0","0","0","18,775.9"
"MOM","1015","-","-","0","0","0","0","0","0","0","0","0","0","0","0"
"defisaver","1002","0x6467e807dB1E71B9Ef04E0E3aFb962E4B0900B2B","-","0","4,793.2","4,410.6","3,007.5","3,047.4","2,032","1,599.7","1,968.1","2,966.6","29,180.8","28,939.1","81,945.1"
"-","303","-","Spark","0","0","0","0","0","0","0","0","0","0","0","0"
"-","129","-","Spark","0","0","0","0","0","0","0","0","0.3","0.5","0.7","1.5"
"-","190","-","Spark","0","0","0","0","0","0","0","0.2","0","0","3.6","3.7"
"-","2001","-","Grove","0","0","0","0","0","0","0","0","0","0","82.1","82.1"
"-","204","-","Spark","0","0","0","0","0","0","0","0","0","0","0","0"
"-","205","-","Spark","0","0","0","0","0","0","0","0","0","0","0","0"
"-","2005","-","Grove","0","0","0","0","0","0","0","0","0","17,129.9","8,255.3","25,385.2"
"-","2002","-","Grove","0","0","0","0","0","0","0","0","0","174,513","116,671.3","291,184.3"
"-","188","-","Spark","0","0","0","0","0","0","0","0","0","0","0","0"
"-","200","-","Spark","0","0","0","0","0","0","0","0","0","0","0","0"
"-","2000","-","Grove","0","0","0","0","0","0","0","0","0","0","0","0"
"-","219","-","Spark","0","0","0","0","0","0","0","0","0","0","14.3","14.3"
"-","2003","-","Grove","0","0","0","0","0","0","0","0","0","0","0","0"
"-","2222","-","Grove","0","0","0","0","0","0","0","0","0","0","10.7","10.7"