Partner Name,Referral Code,Wallet Address,Prime Agent,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026,Total
"-","186","-","Spark","11.6","315.9","271.3","431.3","444","1,181.5","2,655.7"
"-","198","-","Spark","0.5","0","0","0","0","0","0.6"
"Spark.lend","128","0x3300f198988e4C9C63F75dF86De36421f06af8c4","Spark","35,409.1","60,386.3","58,975.7","81,690","132,011.6","268,320.9","636,793.5"
"-","untagged","-","-","8.6","213.1","0","0","0","10,644.6","10,866.3"
"-","191","-","Spark","0","2,146","2,784.8","12,390","18,418.3","25,396.2","61,135.3"
"-","190","-","Spark","0","161","267.7","140.1","342.4","303.6","1,214.8"
"-","202","-","Spark","0","49.8","67.2","67.5","95.1","89.9","369.6"
"-","200","-","Spark","0","0","4.7","0","1.1","1.1","6.9"
"-","1017","-","-","0","0","0.1","0","0","0","0.1"
"Spark untagged","127","-","Spark","0","0","639.7","592.9","14,190.7","0","15,423.2"
"-","188","-","Spark","0","0","0","0","13,233.8","27,556.4","40,790.2"