Referral Code,Partner/Prime,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Total
0,Skybase,322.7,"5,585.90","6,804.90","4,945.60","18,278.30","14,045.50","6,036.30","5,208.10","4,939.60","4,453.60","34,782.60","45,277.30","50,849.60","50,854.90","50,207.60","63,060.80","78,803.80","64,859.40","71,681","620,012.20"
1,Skybase,0,0,0,0,"17,473.50","61,334.20","102,220.90","101,140.40","95,940.60","88,455.60","136,832","106,411.40","84,452.30","103,740.40","93,656.50","107,537.90","137,192.60","109,325.60","121,151.10","1,523,485"
127,Spark untagged (Spark),0,0,0,0,0,0,0,0,0,0,0,0,"18,910.90","7,686","3,978","7,509.50","14,342.40","9,161.70","29,804.50","93,608.10"
128,Spark.lend (Spark),0,177.3,"1,226.90","24,359.70","32,256.50","66,040","69,140.30","91,167.20","73,433.90","39,506.50","612,156.30","1,007,185.70","968,421.30","1,044,827.10","1,318,220.20","1,453,467.40","1,119,186.90","1,029,324.80","1,455,048.90","11,191,026"
129,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,2.6,0.9,0.9,5.5
182,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
183,Spark,0,0,0,0,0,0,0,0,0,0.3,0,0,"17,644.80","17,323.30","20,822.70","24,110.90","21,339.30","13,276.30","11,109.20","130,758.90"
186,Spark,0,0,0,0,0,0,0,0,0,0,0,0,29.9,24.8,450,"1,022.50","1,151.80","1,556.80","2,916","8,653.60"
188,Spark,0,0,0,0,0,0,0,0,0,0,0,0,"16,481.50","16,931.10","7,105.80","3,057","1,186.90",270.1,"16,765.70","77,191.60"
190,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"22,702.50","24,849.20","13,005.10","10,184.20","74,382.60"
191,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,222.40","7,934.70","12,454.10","18,969.20","54,042.70"
192,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"51,110.60","56,684.30","41,736.20","48,264","217,290.10"
194,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9,37.7,19.3,5,4.3,4.7,93
195,Spark,0,0,0,0,0,0,0,0,0,0,0,0,956.7,"3,172.90","8,095.90","7,918.90","3,881.80","1,670","7,613.30","36,403.20"
196,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.7
197,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,159.30","17,554.50","17,402.50","33,944.80","31,463.90","5,569.60","126,046.80"
198,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0.5,0,0,0,2.4
200,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,1.5,13.4,32.4
202,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.8,68.4,77.3,98.1,344.4
204,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,41.6,88.6
205,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.7
216,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216.5,409.7
219,Spark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3
303,Spark,0,0,17.8,41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.3
1001,summerfi (Skybase),154.4,"4,819.80","7,667.10","10,486.90","9,324","7,586.40","5,594.60","5,256.30","5,127.80","4,520.10","9,407.80","4,863.30","2,932.90","2,164.90","3,349.70","3,499.20","2,255",0,0,"89,010.30"
1002,defisaver (Skybase),0,650.1,808.5,"1,160.20","1,792.10","2,359.10","3,026.90","2,500.80","1,880.40","1,971","4,793.20","4,410.70","3,009","3,048.90","2,033.70","1,601.20","1,970","2,968.30","29,183","83,109"
1003,cow (Skybase),67.4,"1,472.50","3,345.40","5,087.30","9,157","15,031.80","17,639.10","19,053.10","18,618.20","20,069.60","49,359.90","48,904.70","34,069.50","33,120.50","27,364.40","69,739.60","67,207.70","52,633.80","58,422.10","574,378.60"
1004,paraswap (Skybase),0,0,314,195.5,350.5,308.1,212,429.2,713.5,"1,061","4,249.40","5,896.30",214.6,182.6,169.7,130.6,228.6,266.4,529.6,"15,763.80"
1007,yearn (Skybase),0,796.4,"1,907.20","1,753.10","2,174.10","1,349.10","2,596.10","4,803.30","5,247.90","15,843.70","21,861.50","21,499.20","8,695.30","8,137.50","3,145.40","5,520.50","10,082.80","13,746.60","15,831.70","151,994.10"
1015,MOM (Skybase),0,0,0,0,7.4,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1
1016,lazysummer (Skybase),0,0,0,0,0,515.4,729.2,263.7,31.7,23.7,76.9,146.7,"2,468.70","3,348.80","1,008.90","3,077.80","4,797.80","3,365.40","4,513.10","26,300.30"
1017,Skybase,0,0,0,0,0,0,0,0,0,0,105.1,18.7,18.2,29.6,124.3,334.6,536.3,350.2,369.5,"2,057.80"
2001,Grove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
2002,Grove (Maple),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"174,513","273,206.10"
2005,Grove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"17,129.90","25,385.20"
2222,Grove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3
4001,Solana Bridge (Keel),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"29,061.50","40,184.70"
untagged,untagged,"55,871.70","302,585.10","235,954.40","245,636.20","427,779.90","806,094.90","1,063,033.30","861,961.60","810,928.20","803,898.40","1,198,992.30","1,322,261.30","654,720.90","862,805.40","1,177,265.80","1,349,802.90","1,558,291.20","1,509,689.90","1,742,377.20","17,812,531.90"